acs_occ_code,n_soc6_mapped,acs_occ_title,soc_major,soc_major_nunique,llm_exposure_main,llm_exposure_model_robustness,complementarity_theta,complementarity_no_jobzone,m_index,m_no_jobzone,m_average_of_detail_products,m_no_jobzone_average_of_detail_products,annual_mean_wage,annual_median_wage,mapping_rows,llm_exposure_main_oews_weighted,complementarity_theta_oews_weighted,complementarity_no_jobzone_oews_weighted,m_index_oews_weighted,m_no_jobzone_oews_weighted
7260,3,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49,1,0.05329153605015673,0.054684778822709834,0.5954166666666666,0.6345,0.03149541390920701,0.03353117380703587,0.03149541390920701,0.03353117380703587,37270.0,35943.333333333336,3.0,0.019966151179765145,0.6003037697292355,0.6403645236750826,0.011797165277202855,0.012559306238262213
7300,2,Control and valve installers and repairers,49,1,0.06980519480519475,0.1336580086580086,0.6498611111111111,0.6798333333333333,0.04541486291486288,0.04748484848484845,0.04541486291486288,0.04748484848484845,56415.0,53910.0,2.0,0.07031885526824645,0.6598369680374228,0.6854760647401106,0.046445037510205435,0.048227943954729895
7315,1,"Heating, air conditioning, and refrigeration mechanics and installers",49,1,0.1403508771929824,0.1052631578947368,0.6845833333333333,0.7015,0.0960818713450292,0.09845614035087714,0.0960818713450292,0.09845614035087714,54690.0,48630.0,1.0,0.1403508771929824,0.6845833333333333,0.7015,0.0960818713450292,0.09845614035087716
7320,1,Home appliance repairers,49,1,0.109090909090909,0.1454545454545454,0.5911805555555555,0.6294166666666666,0.06449242424242418,0.0686636363636363,0.06449242424242418,0.0686636363636363,45340.0,44320.0,1.0,0.109090909090909,0.5911805555555555,0.6294166666666666,0.06449242424242418,0.0686636363636363
7330,2,Industrial and refractory machinery mechanics,49,1,0.0725806451612903,0.13709677419354835,0.5570833333333334,0.5685,0.040498991935483855,0.03988911290322579,0.040498991935483855,0.03988911290322579,56770.0,57045.0,2.0,0.14490495199050596,0.557982922705314,0.5496501426978818,0.08085495064192466,0.07963734653144888
7340,1,"Maintenance and repair workers, general",49,1,0.0784313725490196,0.1372549019607843,0.69625,0.7155,0.054607843137254905,0.05611764705882353,0.054607843137254905,0.05611764705882353,44920.0,43180.0,1.0,0.0784313725490196,0.69625,0.7155,0.054607843137254905,0.05611764705882352
735,1,Market research analysts and marketing specialists,13,1,0.5425598991172762,0.5245901639344263,0.5367361111111111,0.4840833333333333,0.2912114902970436,0.2626442044976881,0.29187489053523896,0.2634402847835225,76080.0,63920.0,1.0,0.5425598991172762,0.5367361111111111,0.48408333333333337,0.2912114902970436,0.2626442044976881
7350,1,"Maintenance workers, machinery",49,1,0.1142857142857142,0.1428571428571428,0.6067361111111111,0.6080833333333334,0.06934126984126979,0.06949523809523805,0.06934126984126979,0.06949523809523805,53570.0,48900.0,1.0,0.1142857142857142,0.6067361111111111,0.6080833333333334,0.06934126984126979,0.06949523809523805
7360,1,Millwrights,49,1,0.0434782608695652,0.0217391304347826,0.6939583333333332,0.75275,0.030172101449275346,0.03272826086956521,0.030172101449275346,0.03272826086956521,61260.0,60330.0,1.0,0.0434782608695652,0.6939583333333332,0.75275,0.030172101449275342,0.03272826086956521
7410,1,Electrical power-line installers and repairers,49,1,0.0,0.0,0.73625,0.8035,0.0,0.0,0.0,0.0,79060.0,78310.0,1.0,0.0,0.73625,0.8035,0.0,0.0
7420,1,Telecommunications line installers and repairers,49,1,0.03125,0.03125,0.6450694444444445,0.6940833333333333,0.02015842013888889,0.021690104166666665,0.02015842013888889,0.021690104166666665,62250.0,60190.0,1.0,0.03125,0.6450694444444445,0.6940833333333333,0.02015842013888889,0.021690104166666665
7430,5,Precision instrument and equipment repairers,49,1,0.11984848484848482,0.19065953654188944,0.5346527777777778,0.5215833333333333,0.06439459175084174,0.0628916919191919,0.06439459175084174,0.0628916919191919,46470.0,42380.0,4.0,0.23629091291342946,0.5562259430078139,0.5474711316093767,0.13174020378280862,0.12973333498975884
750,1,"Business operations specialists, all other",13,1,0.5379899336046262,0.5828407660281357,0.5822453703703704,0.5386944444444445,0.31324214814715656,0.2898121883998477,0.33872288929939787,0.31372526683087026,79240.0,74670.0,1.0,0.5379899336046262,0.5822453703703703,0.5386944444444445,0.31324214814715656,0.2898121883998477
7510,1,"Coin, vending, and amusement machine servicers and repairers",49,1,0.1964285714285714,0.3214285714285714,0.50625,0.5275,0.09944196428571427,0.1036160714285714,0.09944196428571427,0.1036160714285714,42010.0,39040.0,1.0,0.1964285714285714,0.50625,0.5275,0.09944196428571425,0.1036160714285714
7540,1,Locksmiths and safe repairers,49,1,0.08,0.08,0.6289583333333334,0.67475,0.050316666666666676,0.05398,0.050316666666666676,0.05398,47810.0,46910.0,1.0,0.08,0.6289583333333334,0.67475,0.050316666666666676,0.05398
7560,1,Riggers,49,1,0.037037037037037,0.0,0.7040972222222222,0.7649166666666666,0.02607767489711931,0.028330246913580215,0.02607767489711931,0.028330246913580215,52100.0,48130.0,1.0,0.037037037037037,0.7040972222222222,0.7649166666666666,0.02607767489711931,0.028330246913580215
7610,1,"Helpers--installation, maintenance, and repair workers",49,1,0.0,0.0333333333333333,0.6202777777777778,0.6643333333333333,0.0,0.0,0.0,0.0,35090.0,33100.0,1.0,0.0,0.6202777777777778,0.6643333333333333,0.0,0.0
7640,5,"Other installation, maintenance, and repair workers",49,1,0.1185329833015667,0.09473370014744485,0.6956805555555556,0.7308166666666667,0.07965355421097002,0.08473499688327875,0.07965355421097002,0.08473499688327875,59204.0,55224.0,5.0,0.27419315205141537,0.6577472341610952,0.7048692162793164,0.17833509235497721,0.19185704015092453
7700,1,First-line supervisors of production and operating workers,51,1,0.225,0.4,0.7053472222222221,0.7264166666666667,0.15870312499999997,0.16344375000000003,0.15870312499999997,0.16344375000000003,67330.0,61790.0,1.0,0.225,0.7053472222222221,0.7264166666666667,0.15870312499999997,0.16344375000000003
7720,2,"Electrical, electronics, and electromechanical assemblers",51,1,0.08386752136752135,0.14651320901320897,0.533142361111111,0.5597708333333333,0.04534664722815763,0.04770657496438746,0.04557751661918327,0.04798361823361823,41045.0,37910.0,2.0,0.03315827685107918,0.5225340363905476,0.5470408436686571,0.01742170697632553,0.01825338622350431
7730,1,Engine and other machine assemblers,51,1,0.0,0.0952380952380952,0.5715972222222222,0.6059166666666667,0.0,0.0,0.0,0.0,48110.0,47440.0,1.0,0.0,0.5715972222222222,0.6059166666666667,0.0,0.0
7740,1,Structural metal fabricators and fitters,51,1,0.0227272727272727,0.0227272727272727,0.6774305555555555,0.6929166666666666,0.01539614898989897,0.015748106060606042,0.01539614898989897,0.015748106060606042,45730.0,45480.0,1.0,0.022727272727272704,0.6774305555555555,0.6929166666666666,0.01539614898989897,0.015748106060606042
7750,4,Other assemblers and fabricators,51,1,0.049142156862745076,0.08528186274509802,0.5174826388888889,0.5409791666666667,0.026514042075163384,0.02788547794117646,0.026514042075163384,0.02788547794117646,44547.5,40375.0,4.0,0.0866107169344571,0.5402519534694391,0.5683023441633269,0.04679735434588817,0.049227967860309245
7800,1,Bakers,51,1,0.1176470588235294,0.2647058823529412,0.5245833333333334,0.5495,0.0617156862745098,0.0646470588235294,0.0617156862745098,0.0646470588235294,32300.0,29750.0,1.0,0.1176470588235294,0.5245833333333334,0.5495,0.06171568627450981,0.0646470588235294
7810,3,"Butchers and other meat, poultry, and fish processing workers",51,1,0.0087719298245614,0.043859649122806994,0.5309953703703704,0.5705277777777779,0.004909234892787522,0.005189327485380114,0.004909234892787522,0.005189327485380114,33120.0,31893.333333333332,3.0,0.010536279515734019,0.5302330489098624,0.5707770248024583,0.0058966580984236424,0.00623308735684965
7830,1,"Food and tobacco roasting, baking, and drying machine operators and tenders",51,1,0.0666666666666666,0.0666666666666666,0.4724305555555555,0.4869166666666666,0.03149537037037033,0.03246111111111107,0.03149537037037033,0.03246111111111107,36280.0,35480.0,1.0,0.0666666666666666,0.4724305555555555,0.48691666666666666,0.03149537037037033,0.03246111111111107
7840,1,Food batchmakers,51,1,0.1538461538461538,0.1153846153846153,0.5309027777777777,0.5570833333333333,0.0816773504273504,0.08570512820512817,0.0816773504273504,0.08570512820512817,36190.0,35780.0,1.0,0.1538461538461538,0.5309027777777777,0.5570833333333333,0.0816773504273504,0.08570512820512817
7850,1,Food cooking machine operators and tenders,51,1,0.032258064516129,0.1290322580645161,0.5908333333333333,0.629,0.019059139784946215,0.02029032258064514,0.019059139784946215,0.02029032258064514,35430.0,35890.0,1.0,0.032258064516129,0.5908333333333333,0.629,0.019059139784946215,0.020290322580645136
7855,1,"Food processing workers, all other",,0,,,,,,,,,,,,,,,,
7905,2,Computer numerically controlled tool operators and programmers,51,1,0.26857142857142857,0.5267857142857142,0.5365625,0.523875,0.14621815476190475,0.14323321428571426,0.14621815476190475,0.14323321428571426,54300.0,53710.0,2.0,0.20488720166785948,0.5194109852610179,0.5032931823132215,0.10744117994834615,0.10434295173787221
7925,3,"Forming machine setters, operators, and tenders, metal and plastic",51,1,0.06617647058823524,0.07965686274509799,0.542962962962963,0.5715555555555555,0.035348754084967286,0.03712438725490193,0.035348754084967286,0.03712438725490193,43713.333333333336,42826.666666666664,3.0,0.07564178243394001,0.5225062042630121,0.5470074451156145,0.039160054132450134,0.040940722364224955
7950,1,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51,1,0.02,0.01,0.5086805555555555,0.5304166666666666,0.010173611111111109,0.010608333333333332,0.010173611111111109,0.010608333333333332,40000.0,37630.0,1.0,0.02,0.5086805555555555,0.5304166666666666,0.010173611111111109,0.010608333333333332
800,1,Accountants and auditors,13,1,0.52,0.56,0.5711111111111111,0.5253333333333334,0.2969777777777778,0.2731733333333334,0.2969777777777778,0.2731733333333334,83980.0,77250.0,1.0,0.52,0.5711111111111111,0.5253333333333334,0.2969777777777778,0.2731733333333334
8000,1,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51,1,0.064516129032258,0.064516129032258,0.507361111111111,0.5288333333333333,0.03273297491039422,0.03411827956989243,0.03273297491039422,0.03411827956989243,40030.0,37550.0,1.0,0.064516129032258,0.507361111111111,0.5288333333333333,0.03273297491039422,0.03411827956989243
8025,3,"Other machine tool setters, operators, and tenders, metal and plastic",51,1,0.03374119391916943,0.14432422107616763,0.5015740740740741,0.521888888888889,0.016302578997239723,0.016863799283154114,0.016302578997239723,0.016863799283154114,44870.0,43223.333333333336,3.0,0.04017689057373151,0.49206886434358066,0.5104826372122968,0.01940909722076755,0.020076765419022532
8030,1,Machinists,51,1,0.1326530612244897,0.2346938775510204,0.5499305555555555,0.5399166666666666,0.07294997165532874,0.07162159863945572,0.07294997165532874,0.07162159863945572,49020.0,47730.0,1.0,0.1326530612244897,0.5499305555555555,0.5399166666666666,0.07294997165532874,0.07162159863945572
8040,2,"Metal furnace operators, tenders, pourers, and casters",51,1,0.0208333333333333,0.0520833333333333,0.5180208333333334,0.541625,0.010995370370370353,0.01152777777777776,0.010995370370370353,0.01152777777777776,45675.0,46270.0,2.0,0.029285391225689687,0.5219792137795869,0.5463750565355042,0.015456178702447336,0.01620458314488163
810,1,Property appraisers and assessors,13,1,0.5178571428571428,0.53125,0.5734722222222223,0.5281666666666668,0.2969766865079365,0.27351488095238097,0.26625496031746027,0.2452202380952381,70050.0,61340.0,1.0,0.5178571428571428,0.5734722222222223,0.5281666666666668,0.2969766865079365,0.27351488095238097
8100,4,"Model makers, patternmakers, and molding machine setters, metal and plastic",51,1,0.0655231742718288,0.09871489611533314,0.5555729166666667,0.5666875,0.038504844451602016,0.038691869638605283,0.038504844451602016,0.038691869638605283,46607.5,44450.0,4.0,0.03462802608361976,0.5384866777716929,0.5649178577948157,0.018898526586687663,0.01977004776479548
8130,1,Tool and die makers,51,1,0.109375,0.1875,0.5949305555555555,0.5939166666666666,0.06507052951388889,0.06495963541666666,0.06507052951388889,0.06495963541666666,56150.0,57000.0,1.0,0.109375,0.5949305555555555,0.5939166666666666,0.06507052951388889,0.06495963541666666
8140,2,"Welding, soldering, and brazing workers",51,1,0.0480169340463458,0.07820855614973254,0.48864583333333333,0.506375,0.023269830659536535,0.02408244206773618,0.023269830659536535,0.02408244206773618,45620.0,42795.0,2.0,0.04044989464814582,0.5075428379874332,0.5290514055849197,0.02047960461308634,0.021339533963851944
820,1,Budget analysts,13,1,0.64,0.52,0.5574305555555555,0.5089166666666667,0.35675555555555555,0.3257066666666667,0.35675555555555555,0.3257066666666667,84240.0,79940.0,1.0,0.64,0.5574305555555555,0.5089166666666667,0.35675555555555555,0.3257066666666667
8225,6,Other metal workers and plastic workers,51,1,0.07873795002951009,0.10939389468161842,0.5248888888888888,0.5498666666666667,0.04074799713642423,0.04259856056134827,0.04074799713642423,0.04259856056134827,43394.0,40680.0,5.0,0.11436765882982948,0.5031276790351763,0.5237532148422116,0.05671089817513993,0.05890366510378158
8250,1,Prepress technicians and workers,51,1,0.109375,0.4375,0.4830555555555556,0.45966666666666667,0.0528342013888889,0.05027604166666667,0.0528342013888889,0.05027604166666667,43800.0,42610.0,1.0,0.109375,0.4830555555555556,0.45966666666666667,0.0528342013888889,0.05027604166666667
8255,1,Printing press operators,51,1,0.125,0.2875,0.5329861111111112,0.5595833333333333,0.0666232638888889,0.06994791666666667,0.0666232638888889,0.06994791666666667,41120.0,37770.0,1.0,0.125,0.5329861111111112,0.5595833333333333,0.0666232638888889,0.06994791666666667
8256,1,Print binding and finishing workers,51,1,0.0641025641025641,0.0897435897435897,0.495625,0.51475,0.03177083333333333,0.03299679487179487,0.03177083333333333,0.03299679487179487,37060.0,36590.0,1.0,0.0641025641025641,0.495625,0.51475,0.03177083333333333,0.03299679487179487
830,1,Credit analysts,13,1,0.5555555555555556,0.5555555555555556,0.5279166666666666,0.47350000000000003,0.293287037037037,0.2630555555555556,0.293287037037037,0.2630555555555556,88030.0,77440.0,1.0,0.5555555555555556,0.5279166666666666,0.47350000000000003,0.293287037037037,0.2630555555555556
8300,1,Laundry and dry-cleaning workers,51,1,0.05,0.05,0.4371527777777777,0.4845833333333333,0.021857638888888888,0.024229166666666666,0.021857638888888888,0.024229166666666666,27830.0,28350.0,1.0,0.05,0.4371527777777778,0.48458333333333325,0.021857638888888888,0.024229166666666666
8310,1,"Pressers, textile, garment, and related materials",51,1,0.0208333333333333,0.0104166666666666,0.4059027777777778,0.4470833333333333,0.008456307870370357,0.009314236111111096,0.008456307870370357,0.009314236111111096,28110.0,28680.0,1.0,0.0208333333333333,0.4059027777777778,0.4470833333333333,0.008456307870370357,0.009314236111111096
8320,1,Sewing machine operators,51,1,0.0232558139534883,0.0813953488372093,0.39493055555555556,0.4339166666666667,0.009184431524547775,0.010091085271317798,0.009184431524547775,0.010091085271317798,30880.0,29690.0,1.0,0.0232558139534883,0.39493055555555556,0.4339166666666667,0.009184431524547775,0.010091085271317798
8335,2,Shoe and leather workers,51,1,0.04028132992327365,0.07289002557544755,0.4541666666666667,0.46499999999999997,0.018858429241261722,0.019407608695652168,0.018858429241261722,0.019407608695652168,32405.0,30005.0,2.0,0.044319230353595106,0.46079044781509576,0.4729485373781148,0.020959123733812146,0.02160541005228696
8350,2,"Tailors, dressmakers, and sewers",51,1,0.05492424242424235,0.06628787878787876,0.47961805555555553,0.4955416666666667,0.026961805555555517,0.027960227272727234,0.026961805555555517,0.027960227272727234,33390.0,30675.0,2.0,0.06302472014925364,0.5081529526844942,0.5297835432213931,0.03241419853855717,0.03385506063432831
8365,4,"Textile machine setters, operators, and tenders",51,1,0.11442669172932327,0.14014332706766916,0.4236979166666667,0.4284375,0.04825569783834585,0.04875270206766916,0.04825569783834585,0.04875270206766916,32932.5,30975.0,4.0,0.10710854517245491,0.42116806290417397,0.42540167548500885,0.044763874730366464,0.04514796606264336
845,1,Financial and investment analysts,13,1,0.5,0.4615384615384615,,,,,,,103020.0,91580.0,1.0,0.5,,,,
8450,1,Upholsterers,51,1,0.088235294117647,0.1911764705882352,0.4881944444444444,0.5058333333333332,0.04307598039215683,0.04463235294117643,0.04307598039215683,0.04463235294117643,38220.0,37420.0,1.0,0.088235294117647,0.4881944444444444,0.5058333333333332,0.04307598039215683,0.04463235294117643
