model,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col,scheme,outcome_name,model_type,fdr_family,q_value_bh,reject_fdr_5pct
wage_global_60th_adjusted_category_dynamic,mean_log_real_wage_2024,exposure_z_y2023,0.004248825129206389,0.008732176042365243,0.6271003992921865,-0.012971178645881407,0.021468828904294187,597,199,0.9983898893166419,baseline_wage_weight,global_60th,wage,dynamic,other,0.9538819774702559,False
wage_global_60th_adjusted_category_dynamic,mean_log_real_wage_2024,exposure_z_y2024,-0.0015449344791215105,0.0075368935967396146,0.8377960386410629,-0.016407820380484633,0.013317951422241613,597,199,0.9983898893166419,baseline_wage_weight,global_60th,wage,dynamic,other,0.9538819774702559,False
wage_global_60th_adjusted_category_dynamic,mean_log_real_wage_2024,high_c_y2023,0.001025946162183622,0.010902198646336677,0.925121290343693,-0.020473380115235716,0.022525272439602957,597,199,0.9983898893166419,baseline_wage_weight,global_60th,wage,dynamic,threshold_robustness,0.965976832499731,False
wage_global_60th_adjusted_category_dynamic,mean_log_real_wage_2024,high_c_y2024,-0.0005397233208636665,0.012637334325438385,0.965976832499731,-0.025460767483888955,0.02438132084216162,597,199,0.9983898893166419,baseline_wage_weight,global_60th,wage,dynamic,threshold_robustness,0.965976832499731,False
employment_global_60th_adjusted_category_pooled,log_employment,exposure_z_post,-0.013112638412449947,0.021391319385485327,0.5405872205862323,-0.055296694114605784,0.029071417289705893,597,199,0.9973650282117064,none,global_60th,employment,pooled,other,0.8231162607833049,False
employment_global_60th_adjusted_category_pooled,log_employment,high_c_post,0.00864039807157183,0.01969657975147812,0.6613752895695962,-0.030201601451939876,0.04748239759508354,597,199,0.9973650282117064,none,global_60th,employment,pooled,other,0.8231162607833049,False
employment_global_60th_adjusted_category_dynamic,log_employment,exposure_z_y2023,-0.014066791670081027,0.017859368804327157,0.4318479196670965,-0.04928577909533883,0.021152195755176774,597,199,0.9973672960054027,none,global_60th,employment,dynamic,other,0.8231162607833049,False
employment_global_60th_adjusted_category_dynamic,log_employment,exposure_z_y2024,-0.012158485154804584,0.030141770580086522,0.6871064546818263,-0.07159858355166764,0.04728161324205847,597,199,0.9973672960054027,none,global_60th,employment,dynamic,other,0.8231162607833049,False
employment_global_60th_adjusted_category_dynamic,log_employment,high_c_y2023,0.0018683700291834355,0.021381530933694104,0.9304558479549837,-0.04029638267495916,0.044033122733326026,597,199,0.9973672960054027,none,global_60th,employment,dynamic,threshold_robustness,0.9304558479549837,False
employment_global_60th_adjusted_category_dynamic,log_employment,high_c_y2024,0.015412426113960688,0.024053694853016654,0.5224254392332578,-0.03202188054272956,0.06284673277065093,597,199,0.9973672960054027,none,global_60th,employment,dynamic,threshold_robustness,0.6965672523110104,False
employment_share_global_60th_adjusted_category_pooled,log_employment_share,exposure_z_post,-0.013112638412422167,0.021391319385483974,0.5405872205870635,-0.055296694114575336,0.029071417289731,597,199,0.9973649829072968,none,global_60th,employment_share,pooled,other,0.823116260784652,False
employment_share_global_60th_adjusted_category_pooled,log_employment_share,high_c_post,0.008640398071569987,0.019696579751479294,0.6613752895696827,-0.03020160145194404,0.04748239759508401,597,199,0.9973649829072968,none,global_60th,employment_share,pooled,other,0.823116260784652,False
employment_share_global_60th_adjusted_category_dynamic,log_employment_share,exposure_z_y2023,-0.014066791670064673,0.017859368804328313,0.43184791966766084,-0.04928577909532475,0.021152195755195405,597,199,0.9973672507399844,none,global_60th,employment_share,dynamic,other,0.823116260784652,False
employment_share_global_60th_adjusted_category_dynamic,log_employment_share,exposure_z_y2024,-0.01215848515478807,0.030141770580083955,0.6871064546822035,-0.07159858355164607,0.04728161324206993,597,199,0.9973672507399844,none,global_60th,employment_share,dynamic,other,0.823116260784652,False
employment_share_global_60th_adjusted_category_dynamic,log_employment_share,high_c_y2023,0.0018683700291857565,0.02138153093369573,0.9304558479549029,-0.04029638267496004,0.044033122733331556,597,199,0.9973672507399844,none,global_60th,employment_share,dynamic,threshold_robustness,0.9304558479549029,False
employment_share_global_60th_adjusted_category_dynamic,log_employment_share,high_c_y2024,0.0154124261139646,0.024053694853016446,0.5224254392331488,-0.032021880542725235,0.06284673277065443,597,199,0.9973672507399844,none,global_60th,employment_share,dynamic,threshold_robustness,0.696567252310865,False
