model,fe_type,outcome,dimension,year,reference_year,coefficient,standard_error,p_value,ci_low,ci_high
employment_basic_continuous_event_study,basic,log_employment,exposure,2023,2022,0.0037261508099061817,0.006490380220155126,0.566157407812423,-0.009025814729632759,0.016478116349445123
employment_basic_continuous_event_study,basic,log_employment,exposure,2024,2022,0.010417993310375885,0.007565916693827049,0.16914333474115287,-0.004447131024728008,0.025283117645479778
employment_basic_continuous_event_study,basic,log_employment,complementarity,2019,2022,-0.05308471998408723,0.009069968474221214,8.78439149921056e-09,-0.07090492796956163,-0.03526451199861283
employment_basic_continuous_event_study,basic,log_employment,complementarity,2021,2022,-0.012178186175858273,0.006739025519415251,0.07134911457625405,-0.025418677222406365,0.0010623048706898206
employment_basic_continuous_event_study,basic,log_employment,complementarity,2022,2022,0.0,0.0,,0.0,0.0
employment_basic_continuous_event_study,basic,log_employment,complementarity,2023,2022,0.007708150774259347,0.005550083125422515,0.16550490251666594,-0.0031963673519950367,0.018612668900513732
employment_basic_continuous_event_study,basic,log_employment,complementarity,2024,2022,0.021946089456324987,0.007020342158478378,0.0018752855857583422,0.008152881933184069,0.0357392969794659
employment_basic_continuous_event_study,basic,log_employment,interaction,2019,2022,-0.023522660046252156,0.009699076748456992,0.015653204152173788,-0.04257890764136005,-0.004466412451144264
employment_basic_continuous_event_study,basic,log_employment,interaction,2021,2022,-0.014707172753796849,0.006954310139316294,0.034941708214578655,-0.028370643958833285,-0.0010437015487604114
employment_basic_continuous_event_study,basic,log_employment,interaction,2022,2022,0.0,0.0,,0.0,0.0
employment_basic_continuous_event_study,basic,log_employment,interaction,2023,2022,-0.007564938214179375,0.006551138713456151,0.24874705213477583,-0.02043627891919829,0.00530640249083954
employment_basic_continuous_event_study,basic,log_employment,interaction,2024,2022,-0.00314363885173494,0.00784499821415249,0.6887993173265414,-0.01855708821699047,0.01226981051352059
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,exposure,2019,2022,-0.009400976900429034,0.011114746991952126,0.39806513262200277,-0.031238660643813795,0.012436706842955727
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,exposure,2021,2022,0.0098969760589663,0.00836218747866399,0.2371613310657624,-0.006532620196727108,0.026326572314659707
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,exposure,2022,2022,0.0,0.0,,0.0,0.0
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,exposure,2023,2022,0.001520895900754455,0.005409445068408139,0.778708051544145,-0.009107303797956068,0.012149095599464978
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,exposure,2024,2022,-0.006479582268240773,0.006676339983403939,0.33225490309798467,-0.019596911994815433,0.006637747458333886
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,complementarity,2019,2022,0.011225136949759747,0.004820998651830021,0.020291965971024443,0.0017530865322218422,0.02069718736729765
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,complementarity,2021,2022,0.014423633372893712,0.004705794113615591,0.002294443866216131,0.005177930912097516,0.02366933583368991
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,complementarity,2022,2022,0.0,0.0,,0.0,0.0
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,complementarity,2023,2022,-0.002583238174430301,0.0029434913364679485,0.3805792995145388,-0.008366458697013732,0.003199982348153131
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,complementarity,2024,2022,-3.95102798854928e-05,0.003930900126821985,0.9919844676201657,-0.007762740854411854,0.007683720294640869
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,interaction,2019,2022,-0.0005125923724297152,0.003849250227525936,0.8941153594808626,-0.008075401420510409,0.007050216675650979
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,interaction,2021,2022,-0.0022965424993409513,0.0042316829453788105,0.5875783215622954,-0.010610735699633226,0.006017650700951324
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,interaction,2022,2022,0.0,0.0,,0.0,0.0
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,interaction,2023,2022,-0.0009279525490794285,0.003133064756161123,0.7672159911143428,-0.0070836371851878055,0.005227732087028948
wage_soc_year_continuous_event_study,soc_year,mean_log_real_wage_2024,interaction,2024,2022,-0.0030018775326923555,0.003874749087096053,0.43886867569543025,-0.01061478542976281,0.004611030364378098
employment_soc_year_continuous_event_study,soc_year,log_employment,exposure,2019,2022,-0.019579210951960788,0.018021084387960747,0.27780160200755505,-0.05498611151947578,0.015827689615554204
employment_soc_year_continuous_event_study,soc_year,log_employment,exposure,2021,2022,-0.009056525837404227,0.013802307749842334,0.512024673929802,-0.03617459085392401,0.018061539179115557
employment_soc_year_continuous_event_study,soc_year,log_employment,exposure,2022,2022,0.0,0.0,,0.0,0.0
employment_soc_year_continuous_event_study,soc_year,log_employment,exposure,2023,2022,-0.007557176274773093,0.010758218741036161,0.48272363953204667,-0.02869437163144762,0.013580019081901436
employment_soc_year_continuous_event_study,soc_year,log_employment,exposure,2024,2022,-0.018316699716204924,0.013238449293276666,0.16710250695751908,-0.04432692461189876,0.0076935251794889095
employment_soc_year_continuous_event_study,soc_year,log_employment,complementarity,2019,2022,-0.044978766703238866,0.011860964460561731,0.00016770649414248008,-0.06828258018354746,-0.021674953222930275
employment_soc_year_continuous_event_study,soc_year,log_employment,complementarity,2021,2022,-0.014190591729368072,0.008742232683969913,0.10517584894177934,-0.03136688127530639,0.002985697816570248
employment_soc_year_continuous_event_study,soc_year,log_employment,complementarity,2022,2022,0.0,0.0,,0.0,0.0
employment_soc_year_continuous_event_study,soc_year,log_employment,complementarity,2023,2022,-0.006055672041493726,0.007368233500210447,0.41154946015864174,-0.020532398595999694,0.008421054513012241
employment_soc_year_continuous_event_study,soc_year,log_employment,complementarity,2024,2022,0.0011677966093735625,0.008972438275662093,0.896497435388196,-0.016460789053693886,0.018796382272441008
employment_soc_year_continuous_event_study,soc_year,log_employment,interaction,2019,2022,-0.020818352088546533,0.011308817935704108,0.06623274571981078,-0.04303733644961559,0.0014006322725225243
employment_soc_year_continuous_event_study,soc_year,log_employment,interaction,2021,2022,-0.01954638581501701,0.00865456146992633,0.024346806123179868,-0.03655042346470717,-0.002542348165326856
employment_soc_year_continuous_event_study,soc_year,log_employment,interaction,2022,2022,0.0,0.0,,0.0,0.0
employment_soc_year_continuous_event_study,soc_year,log_employment,interaction,2023,2022,-0.012564668083540686,0.007712849789488577,0.10393469713034288,-0.027718479014643232,0.00258914284756186
employment_soc_year_continuous_event_study,soc_year,log_employment,interaction,2024,2022,-0.008297006708752124,0.008589751768989694,0.33455435115823773,-0.025173709588376676,0.008579696170872427
